Temperature,Transmittance
25.712, 78.664
26.162, 78.217
26.878, 78.325
27.584, 78.114
28.369, 78.411
28.376, 77.605
29.207, 78.201
29.213, 77.402
29.975, 77.803
30.425, 77.252
31.123, 77.225
31.717, 76.831
32.414, 76.826
32.940, 76.426
33.646, 76.428
34.299, 76.113
35.022, 76.228
35.285, 75.549
36.066, 75.838
36.074, 74.893
36.840, 74.131
36.907, 75.197
37.482, 74.575
37.671, 73.635
38.128, 72.865
38.231, 73.611
38.648, 72.076
38.781, 72.794
39.098, 71.148
39.181, 69.886
39.328, 71.931
39.557, 68.858
39.739, 70.721
40.080, 69.622
40.302, 69.037
40.841, 66.696
41.202, 65.957
41.341, 64.827
41.576, 66.659
41.735, 63.747
41.787, 65.704
42.010, 64.799
42.233, 62.730
42.437, 63.688
42.651, 61.640
42.931, 62.440
42.969, 60.716
43.268, 59.803
43.369, 61.329
43.680, 60.431
43.688, 58.858
43.968, 57.914
44.019, 59.361
44.354, 57.088
44.496, 58.322
44.699, 56.325
44.900, 57.222
45.292, 56.329
45.436, 53.900
46.081, 52.964
46.087, 54.328
46.741, 53.384
46.799, 52.138
47.586, 52.355
47.593, 51.534
48.427, 51.749
48.434, 50.934
49.215, 51.169
49.477, 50.549
50.258, 50.905
50.264, 50.111
51.044, 50.528
51.307, 49.912
52.086, 50.361
52.093, 49.552
52.924, 50.144
52.931, 49.345
53.761, 49.931
53.768, 49.128
54.568, 49.697
54.713, 49.012
55.512, 49.614
55.519, 48.825
56.297, 49.363
56.559, 48.785
57.338, 49.344
57.345, 48.562
58.051, 49.129
58.181, 48.467
61.071, 48.204
61.908, 48.119
62.744, 48.020
63.580, 48.017
64.417, 47.957
65.253, 47.892
66.030, 47.911
66.682, 47.621
67.459, 47.591
68.296, 47.458
69.062, 47.406
69.511, 47.020
70.276, 47.027
71.053, 46.822
71.568, 46.422
72.333, 46.377
73.170, 46.289
74.006, 46.216
74.843, 46.138
75.668, 46.124
76.514, 46.237
77.349, 46.325
78.184, 46.432
79.020, 46.379
