Temperature,Transmittance
21.144, 80.865
21.873, 80.904
21.891, 79.875
22.556, 78.959
22.617, 80.048
22.793, 77.873
23.183, 79.056
23.354, 77.079
23.602, 78.162
23.844, 76.041
24.029, 77.296
24.329, 75.056
24.473, 76.357
24.744, 74.156
24.917, 75.487
25.232, 73.211
25.360, 74.552
25.654, 72.238
25.860, 73.496
26.114, 71.329
26.286, 72.561
26.545, 70.378
26.689, 71.727
26.705, 69.110
27.090, 70.671
27.150, 68.089
27.299, 69.715
27.549, 67.136
27.584, 68.801
27.899, 66.070
28.027, 67.785
28.272, 65.146
28.408, 66.829
28.715, 65.865
28.749, 64.356
28.903, 63.229
29.254, 62.451
29.331, 64.512
29.491, 61.496
29.633, 60.670
29.642, 63.392
30.007, 62.331
30.041, 59.635
30.302, 61.027
30.504, 58.659
30.825, 59.606
31.018, 57.758
31.256, 56.548
31.392, 58.347
31.851, 57.527
31.932, 55.760
32.044, 56.383
32.769, 55.241
33.627, 54.125
33.637, 54.945
34.480, 54.241
34.751, 53.547
35.531, 53.575
35.913, 52.951
36.717, 53.019
36.860, 52.325
37.678, 52.465
37.949, 51.768
38.730, 51.801
39.111, 51.145
39.915, 51.193
40.058, 50.482
40.862, 50.576
41.244, 49.987
42.011, 50.059
42.394, 49.493
43.179, 49.498
43.939, 49.105
44.759, 49.005
44.902, 48.246
45.719, 48.344
45.991, 47.665
46.772, 47.725
47.154, 47.127
47.914, 47.148
48.476, 46.663
49.229, 46.658
49.791, 46.180
50.551, 46.195
50.933, 45.637
51.695, 45.749
52.173, 45.226
53.004, 45.190
53.910, 45.057
54.816, 44.931
55.723, 44.852
56.630, 44.772
57.537, 44.693
58.444, 44.626
59.351, 44.499
60.257, 44.382
61.163, 44.224
62.070, 44.074
62.976, 43.930
63.883, 43.904
64.791, 43.904
65.699, 43.904
66.607, 43.904
67.516, 43.950
68.176, 43.936
