Temperature,Transmittance
15.216, 76.833
16.026, 76.736
16.836, 76.695
17.646, 76.701
18.456, 76.626
19.266, 76.580
20.077, 76.585
20.887, 76.587
21.697, 76.560
22.507, 76.508
23.317, 76.513
24.127, 76.501
24.937, 76.391
25.747, 76.295
26.557, 76.234
27.368, 76.214
28.178, 76.110
28.988, 76.049
29.780, 75.955
30.552, 75.738
31.298, 75.574
31.980, 75.240
32.675, 75.176
33.107, 74.617
33.785, 74.613
34.133, 74.006
34.880, 74.077
34.880, 73.308
35.621, 72.653
35.690, 73.583
36.035, 72.121
36.367, 72.648
36.517, 71.279
36.960, 70.063
37.126, 71.320
37.487, 70.465
37.722, 70.283
37.733, 68.538
37.933, 67.710
38.224, 66.816
38.362, 65.903
38.415, 68.574
38.420, 64.973
38.606, 67.583
38.679, 63.963
38.804, 62.780
38.856, 61.710
38.920, 66.334
38.961, 60.951
39.024, 59.841
39.041, 65.122
39.162, 58.851
39.225, 64.146
39.388, 62.920
39.544, 61.326
39.657, 59.979
39.789, 58.986
40.964, 55.583
41.317, 54.978
41.540, 54.020
41.812, 53.095
41.839, 55.316
42.131, 52.236
42.171, 53.990
42.438, 51.246
42.576, 52.897
42.663, 50.309
42.804, 52.012
42.846, 49.330
43.054, 51.097
43.179, 48.386
43.319, 50.197
43.383, 47.591
43.511, 49.342
43.582, 46.507
43.828, 48.297
43.933, 45.595
44.108, 44.615
44.175, 47.189
44.184, 44.021
44.405, 46.122
44.726, 44.853
44.822, 44.309
45.697, 41.066
46.442, 41.167
46.442, 40.309
47.045, 40.061
47.315, 40.381
47.759, 39.586
48.435, 39.487
48.868, 39.064
49.586, 39.008
50.419, 38.952
51.229, 38.904
52.039, 38.909
52.849, 38.915
53.659, 38.920
54.470, 38.833
55.280, 38.781
56.090, 38.786
56.900, 38.790
57.677, 38.720
58.406, 38.507
59.183, 38.482
59.993, 38.356
60.460, 38.452
63.070, 37.706
63.823, 37.786
64.633, 37.776
65.443, 37.694
66.253, 37.652
67.063, 37.657
67.873, 37.663
68.683, 37.668
69.497, 37.635
70.304, 37.753
71.114, 37.869
71.924, 38.019
72.734, 38.071
73.544, 38.186
74.354, 38.232
75.164, 38.248
75.974, 38.376
76.785, 38.462
77.595, 38.498
78.405, 38.503
79.215, 38.509
80.025, 38.514
80.835, 38.508
81.645, 38.436
82.455, 38.436
83.265, 38.442
84.076, 38.447
84.886, 38.453
85.696, 38.458
86.506, 38.402
87.316, 38.319
88.089, 38.324
