Temperature,Transmittance
25.644, 76.117
26.411, 76.245
26.418, 75.429
27.253, 75.538
27.260, 74.697
27.985, 73.934
28.038, 74.813
28.600, 73.046
28.729, 73.954
28.843, 72.068
29.239, 71.316
29.251, 72.942
29.526, 70.220
29.638, 72.102
29.875, 69.368
29.964, 70.994
30.220, 68.435
30.378, 69.962
30.587, 67.665
30.605, 69.183
31.019, 66.851
31.038, 68.296
31.389, 65.846
31.445, 67.364
31.553, 64.864
31.788, 66.447
31.935, 64.072
32.085, 65.702
32.269, 64.906
32.480, 63.281
32.720, 64.028
32.876, 62.331
33.172, 63.066
33.278, 61.566
33.642, 62.291
33.931, 60.844
34.084, 61.507
34.443, 59.964
34.636, 60.603
34.647, 59.007
35.122, 59.755
35.127, 58.344
35.627, 58.770
35.657, 57.488
36.125, 57.937
36.337, 56.657
36.655, 57.026
36.902, 55.731
37.193, 56.237
37.446, 54.920
37.796, 55.352
38.045, 54.038
38.357, 54.577
38.666, 53.276
39.295, 52.423
39.360, 53.299
40.027, 51.693
40.138, 52.440
40.739, 50.828
40.927, 51.576
41.547, 50.068
41.770, 50.726
42.308, 49.571
43.127, 49.460
43.134, 48.646
43.969, 48.745
43.975, 47.974
44.778, 48.109
44.924, 47.411
45.674, 47.529
45.937, 46.862
46.688, 46.915
46.770, 46.321
47.367, 46.712
49.159, 44.973
49.874, 45.064
50.137, 44.462
50.860, 44.502
51.513, 44.212
52.290, 44.159
53.127, 44.086
53.963, 44.018
54.799, 44.013
55.635, 44.022
56.470, 44.093
57.305, 44.189
58.140, 44.331
58.975, 44.413
59.810, 44.496
60.646, 44.529
61.483, 44.439
62.319, 44.430
63.154, 44.458
63.989, 44.552
64.825, 44.575
65.660, 44.676
66.495, 44.794
67.330, 44.856
68.166, 44.883
69.002, 44.914
69.837, 44.968
70.672, 45.065
71.508, 45.136
72.343, 45.199
73.178, 45.328
74.013, 45.449
74.848, 45.535
75.683, 45.597
76.518, 45.665
77.354, 45.667
78.190, 45.714
79.026, 45.705
79.542, 45.748
