Temperature,Transmittance
26.103, 80.628
26.720, 80.888
26.737, 79.768
27.279, 78.808
27.290, 80.114
27.521, 77.745
27.860, 78.886
27.916, 77.052
28.117, 75.908
28.189, 77.974
28.544, 75.055
28.544, 76.986
28.902, 75.850
29.032, 74.194
29.416, 73.126
29.456, 74.619
29.806, 72.250
29.855, 73.815
30.276, 72.833
30.372, 71.479
30.836, 71.883
31.010, 70.631
31.545, 70.757
31.567, 69.638
32.077, 69.852
32.163, 68.793
32.720, 67.941
32.761, 68.866
33.380, 67.029
33.392, 67.973
34.064, 66.137
34.076, 67.072
34.747, 65.289
34.838, 66.158
35.426, 64.379
35.505, 65.351
36.115, 63.494
36.128, 64.466
36.751, 63.630
36.785, 62.522
37.321, 62.733
37.407, 61.636
37.929, 61.808
37.943, 60.750
38.385, 61.023
38.414, 59.926
38.879, 60.057
38.903, 58.908
39.147, 57.885
39.486, 58.931
39.605, 57.114
39.897, 58.045
40.064, 56.170
40.353, 57.176
40.515, 55.208
40.816, 56.248
40.922, 54.357
41.234, 55.289
41.495, 54.429
42.374, 52.847
42.724, 52.069
43.210, 52.719
43.317, 51.260
43.948, 50.393
44.046, 51.158
44.620, 49.663
44.882, 50.282
45.473, 49.182
46.237, 48.102
46.250, 49.014
47.085, 48.188
47.085, 47.335
47.921, 47.457
47.921, 46.597
48.726, 46.671
48.865, 45.936
49.598, 45.989
50.120, 45.550
50.885, 45.523
51.721, 45.389
52.557, 45.364
53.393, 45.329
54.229, 45.287
55.064, 45.289
55.900, 45.336
56.736, 45.373
57.572, 45.375
58.408, 45.377
59.244, 45.379
60.080, 45.381
60.916, 45.415
61.752, 45.522
62.587, 45.527
63.423, 45.529
64.259, 45.531
65.095, 45.540
65.931, 45.615
66.767, 45.617
67.603, 45.694
68.439, 45.701
69.275, 45.729
70.110, 45.786
70.946, 45.788
71.782, 45.800
72.618, 45.868
73.454, 45.921
74.290, 45.982
75.126, 46.172
75.962, 46.372
76.798, 46.517
77.633, 46.604
78.469, 46.630
79.271, 46.600
79.799, 46.472
