Temperature,Transmittance
31.781, 77.541
32.674, 77.868
32.675, 77.047
33.567, 77.780
33.569, 76.980
34.460, 77.670
34.462, 76.847
35.354, 77.449
35.355, 76.684
36.211, 77.007
36.974, 76.760
37.790, 77.201
38.273, 76.482
39.033, 76.837
39.429, 76.189
40.081, 76.440
40.682, 76.349
41.394, 76.223
42.146, 75.966
42.916, 75.959
43.548, 75.582
44.369, 75.507
45.191, 75.434
45.822, 75.014
46.580, 74.980
47.275, 74.666
48.105, 74.889
48.107, 74.054
48.999, 74.558
49.000, 73.671
49.872, 74.160
49.993, 73.190
50.633, 73.696
50.789, 72.595
51.478, 72.816
51.634, 71.751
52.211, 72.017
52.292, 70.856
52.960, 70.168
53.114, 70.888
53.620, 69.300
53.863, 69.701
54.182, 68.372
54.531, 68.770
54.727, 67.339
55.036, 68.005
55.196, 66.369
55.549, 67.186
55.725, 65.408
56.018, 66.125
56.033, 64.371
56.380, 63.404
56.528, 65.070
56.581, 62.617
56.678, 64.217
56.907, 61.771
57.100, 63.303
57.209, 60.733
57.284, 62.601
57.472, 59.978
57.598, 61.575
57.654, 58.944
57.919, 58.001
58.039, 60.496
58.136, 59.600
58.397, 57.478
58.561, 58.431
59.102, 57.035
59.238, 56.623
59.920, 53.698
60.219, 53.030
60.548, 52.139
60.692, 53.368
60.766, 51.215
61.037, 50.434
61.087, 52.177
61.334, 49.575
61.441, 51.189
61.676, 48.705
61.768, 50.151
62.059, 47.713
62.284, 48.975
62.585, 46.916
62.846, 47.676
62.974, 45.928
63.424, 45.178
63.507, 46.618
63.624, 44.017
63.852, 42.780
63.956, 45.463
64.128, 44.673
64.293, 41.768
64.323, 40.566
64.365, 43.792
64.570, 42.880
64.631, 39.863
64.898, 41.576
65.048, 40.716
65.200, 39.488
65.537, 39.759
65.893, 36.405
66.450, 36.903
66.842, 35.678
67.481, 34.949
67.487, 35.679
68.061, 34.024
68.179, 34.861
68.701, 33.267
68.770, 34.024
69.297, 32.264
69.475, 33.124
70.061, 31.516
70.194, 32.175
70.963, 31.178
71.751, 30.943
72.135, 30.335
72.882, 30.314
73.360, 29.759
74.121, 29.826
74.271, 29.457
76.103, 27.428
76.628, 27.736
77.045, 27.275
77.777, 27.323
78.015, 26.612
78.720, 26.415
78.841, 27.081
79.670, 26.936
79.820, 26.224
80.678, 26.812
80.822, 25.939
81.571, 26.647
81.573, 25.843
82.464, 26.606
82.466, 25.737
83.302, 26.377
83.522, 25.609
84.251, 26.404
84.471, 25.658
85.306, 26.400
85.308, 25.507
86.200, 26.101
86.201, 25.386
87.094, 25.753
87.986, 26.264
87.987, 25.408
88.879, 26.093
88.881, 25.336
89.773, 25.668
90.382, 25.642
