Temperature,Transmittance
20.284, 58.037
21.101, 57.206
21.105, 58.101
22.000, 57.325
22.001, 56.494
22.624, 55.888
22.964, 56.474
23.399, 55.416
23.891, 54.655
24.237, 55.285
24.652, 53.939
25.079, 54.407
25.444, 53.219
26.020, 53.526
26.379, 52.604
26.819, 51.833
27.165, 52.454
27.561, 51.095
27.959, 51.502
28.241, 50.257
28.687, 50.650
28.896, 49.410
29.403, 49.777
29.604, 48.594
30.087, 48.945
30.285, 47.777
30.950, 47.895
31.004, 46.980
31.735, 46.174
31.831, 46.986
32.474, 45.403
32.699, 46.047
33.282, 44.723
33.553, 45.260
34.186, 44.257
34.983, 44.092
35.133, 43.316
35.848, 42.867
35.969, 43.398
36.695, 42.463
37.503, 42.287
37.654, 41.565
38.479, 41.664
38.629, 40.945
39.454, 41.044
39.605, 40.319
40.407, 40.356
40.684, 39.637
41.487, 39.680
41.637, 39.006
42.440, 39.106
42.716, 38.463
43.496, 38.539
43.772, 37.928
44.553, 38.004
44.829, 37.385
45.632, 37.500
45.782, 36.826
46.585, 36.941
46.861, 36.324
47.628, 36.393
48.012, 35.817
48.765, 35.869
49.149, 35.322
49.896, 35.348
50.456, 34.905
51.201, 34.861
51.832, 34.406
52.578, 34.333
53.055, 33.783
53.797, 33.730
54.274, 33.187
55.016, 33.194
55.493, 32.677
56.235, 32.674
56.712, 32.230
57.353, 32.379
60.290, 32.098
61.183, 31.957
62.076, 31.883
62.969, 31.880
63.862, 31.934
64.719, 31.975
65.720, 32.025
66.541, 32.117
67.434, 32.114
68.307, 32.175
69.256, 32.345
70.113, 32.336
71.005, 32.450
71.898, 32.458
72.791, 32.455
73.684, 32.452
74.577, 32.449
75.471, 32.443
76.364, 32.315
77.257, 32.245
78.150, 32.178
79.043, 32.031
79.937, 31.959
80.830, 31.840
81.723, 31.818
82.616, 31.791
83.509, 31.695
84.402, 31.673
85.296, 31.603
86.189, 31.576
87.082, 31.523
87.975, 31.433
88.868, 31.365
89.761, 31.336
90.492, 31.334
