Temperature,Transmittance
21.618, 70.559
22.384, 70.580
22.861, 70.049
23.607, 70.043
24.238, 69.550
25.026, 69.529
25.176, 68.880
25.963, 68.951
26.595, 68.502
27.346, 68.495
27.730, 67.944
28.497, 68.021
28.774, 67.375
29.534, 67.353
30.094, 66.796
30.841, 66.733
31.225, 66.149
32.014, 66.230
32.165, 65.540
32.954, 65.587
33.338, 64.957
34.105, 64.957
34.382, 64.288
35.184, 64.378
35.335, 63.704
36.124, 63.779
36.508, 63.155
37.275, 63.184
37.551, 62.573
38.354, 62.720
38.504, 61.955
39.117, 61.237
39.355, 62.023
39.870, 60.565
40.137, 61.083
40.395, 59.630
40.722, 58.673
40.747, 60.189
41.128, 57.839
41.220, 59.307
41.618, 57.134
41.644, 58.440
42.012, 56.253
42.174, 57.490
42.431, 55.226
42.642, 54.217
42.663, 56.476
43.089, 53.352
43.153, 55.118
43.490, 52.366
43.683, 54.001
43.831, 53.196
43.869, 51.384
44.268, 52.271
44.330, 50.540
44.703, 51.428
44.857, 49.679
45.138, 50.547
45.290, 48.791
45.640, 49.622
45.698, 47.859
45.926, 46.786
46.089, 48.748
46.364, 45.865
46.492, 47.621
46.649, 44.579
46.832, 46.582
47.016, 43.723
47.120, 45.528
47.423, 44.544
47.641, 43.036
47.996, 43.543
48.090, 42.935
49.541, 41.238
49.907, 40.225
50.258, 39.434
50.285, 41.269
50.651, 38.425
50.693, 40.270
51.050, 39.235
51.237, 37.594
51.639, 38.233
52.019, 36.736
52.120, 37.476
52.633, 35.882
52.852, 36.468
53.203, 35.029
53.528, 35.615
53.847, 34.241
54.393, 34.560
54.704, 34.298
57.035, 33.000
57.783, 33.114
58.166, 32.514
59.076, 32.415
59.636, 31.879
60.377, 31.794
60.936, 31.322
61.690, 31.317
62.385, 30.965
63.152, 30.851
63.847, 30.528
64.614, 30.483
65.309, 30.095
66.063, 30.114
66.540, 29.693
67.324, 29.801
67.474, 29.275
68.256, 29.595
68.734, 29.069
69.532, 29.103
70.496, 28.929
71.318, 28.786
72.169, 28.584
73.043, 28.509
73.936, 28.380
74.829, 28.668
74.875, 28.067
75.804, 28.305
76.697, 28.205
77.590, 28.113
78.483, 28.060
79.376, 28.031
80.270, 28.028
81.163, 28.025
82.056, 27.989
82.949, 27.867
83.842, 27.864
84.735, 27.861
85.628, 27.858
86.521, 27.855
87.414, 27.852
88.307, 27.850
89.200, 27.847
90.093, 27.844
90.986, 27.841
91.879, 27.838
92.610, 27.835
