Temperature,Resistance
26.638, 4.9210e+5
26.851, 5.8778e+5
27.445, 4.7486e+5
27.658, 5.6824e+5
28.252, 4.6132e+5
28.465, 5.5103e+5
29.058, 4.4845e+5
29.199, 5.3384e+5
29.865, 4.3460e+5
30.123, 5.1340e+5
30.666, 5.0363e+5
30.672, 4.2066e+5
31.479, 4.0692e+5
32.286, 3.9678e+5
33.092, 3.8736e+5
33.899, 3.7770e+5
34.624, 4.5936e+5
34.663, 3.7174e+5
35.512, 3.6065e+5
35.989, 3.5592e+5
36.311, 4.3569e+5
37.264, 4.2073e+5
38.071, 4.1099e+5
38.877, 3.9952e+5
39.684, 3.8623e+5
40.491, 3.7476e+5
41.298, 3.6542e+5
42.105, 3.5392e+5
42.911, 3.4488e+5
43.718, 3.3464e+5
44.525, 3.2550e+5
45.331, 3.1914e+5
45.630, 2.6973e+5
46.138, 3.1099e+5
46.944, 3.0454e+5
47.791, 2.8980e+5
48.605, 2.8214e+5
49.365, 2.7533e+5
50.172, 2.6953e+5
50.978, 2.6161e+5
51.752, 2.5563e+5
52.479, 2.4183e+5
53.190, 2.3519e+5
53.540, 2.0958e+5
54.215, 2.0156e+5
54.723, 1.8026e+5
55.411, 1.7311e+5
55.664, 1.5116e+5
56.378, 1.3103e+5
56.418, 1.5586e+5
56.898, 1.3938e+5
56.919, 1.1732e+5
57.350, 98445
57.961, 87171
58.007, 1.0528e+5
58.499, 90223
58.526, 73247
58.933, 79360
59.085, 68652
59.101, 59312
59.429, 49521
59.701, 58035
59.716, 41746
59.759, 34597
60.004, 29326
60.014, 46897
60.313, 39770
60.331, 24498
60.481, 33984
60.617, 20481
60.699, 29005
60.930, 17246
61.061, 23803
61.257, 14496
61.329, 19292
61.455, 12370
61.663, 16978
61.757, 10463
61.852, 14524
62.022, 8524.3
62.136, 12391
62.371, 7302.5
62.377, 10418
62.729, 8814.2
62.752, 6000.4
62.976, 7385.2
63.181, 5038.7
63.455, 5864.1
63.532, 4109.4
63.851, 3445.3
63.944, 4766.9
64.242, 2937.6
64.255, 3871.6
64.548, 2552.9
64.728, 3222.5
65.026, 2779.2
65.038, 2229.1
65.386, 1834.6
65.585, 2137.9
65.677, 1290.2
65.903, 1720.2
66.315, 1545.9
66.357, 1124.8
66.852, 1180.2
66.950, 950.09
67.667, 932.07
67.817, 735.50
68.234, 800.97
68.549, 636.85
68.977, 713.42
69.328, 553.69
69.738, 651.49
70.175, 497.07
70.507, 541.16
70.962, 459.35
71.580, 401.43
71.721, 464.28
72.530, 421.92
73.007, 386.28
73.584, 379.59
74.513, 367.82
74.744, 321.53
75.467, 347.25
75.472, 300.70
76.090, 305.92
76.427, 283.69
77.234, 275.10
78.099, 256.56
78.817, 242.20
79.544, 227.90
80.249, 221.34
81.125, 214.90
81.278, 177.33
81.932, 206.24
82.086, 168.52
82.702, 200.89
82.893, 162.32
83.700, 157.15
84.552, 155.15
85.312, 153.78
86.115, 163.12
86.121, 139.97
86.923, 155.57
86.928, 134.08
87.731, 146.40
87.736, 128.20
88.517, 134.77
88.633, 121.95
89.358, 127.69
89.716, 117.45
90.380, 117.84
90.724, 110.67
91.496, 117.34
91.705, 104.27
92.067, 97.991
92.459, 106.41
93.224, 102.53
94.013, 103.83
94.217, 92.758
94.847, 106.71
94.952, 95.017
95.679, 96.572
96.535, 96.280
97.323, 100.14
