Temperature,Resistance
26.366, 1.1229e+5
27.132, 1.1152e+5
27.549, 97816
28.242, 95173
28.980, 94180
29.550, 87184
30.292, 84923
31.029, 84545
31.462, 78563
32.196, 85174
32.202, 72550
33.003, 81539
33.009, 69454
33.811, 78298
33.817, 66653
34.618, 75232
34.624, 63965
35.138, 62169
35.425, 72508
36.232, 69926
37.039, 66655
37.847, 63771
38.654, 60826
39.461, 58017
40.269, 55269
41.082, 52526
41.823, 50537
41.834, 45232
42.617, 42898
42.630, 48232
43.426, 39967
43.438, 45213
44.051, 42498
44.235, 36457
44.788, 33498
45.521, 30315
46.168, 27052
46.895, 25318
47.328, 22768
48.000, 21241
49.010, 19052
49.687, 17438
49.797, 14679
50.410, 14151
50.886, 12369
51.108, 10831
51.951, 10586
52.126, 8496.8
52.750, 9277.3
52.773, 7196.1
53.287, 5924.1
53.574, 7754.1
53.757, 5048.9
53.932, 7113.5
54.070, 5966.0
54.334, 4409.3
54.754, 4547.6
54.953, 3867.6
55.289, 2675.4
55.459, 3554.0
55.995, 2510.4
56.195, 1845.3
56.196, 2173.7
56.767, 2007.7
56.799, 1669.1
57.209, 1327.8
57.465, 1641.1
57.712, 1160.0
58.057, 1397.8
58.487, 1046.6
58.499, 1281.9
59.380, 925.02
59.871, 818.86
59.974, 982.22
61.077, 881.90
61.518, 744.79
62.166, 736.10
62.554, 634.17
63.061, 738.38
63.360, 630.98
64.164, 656.90
64.989, 594.22
65.725, 570.22
66.410, 556.17
67.301, 556.15
67.606, 506.24
68.279, 512.04
68.785, 481.66
69.454, 483.24
69.866, 440.47
70.662, 451.53
71.427, 472.25
71.433, 401.74
72.236, 437.10
72.955, 392.40
73.584, 381.87
74.563, 374.95
75.317, 381.49
76.090, 382.72
76.853, 362.55
76.865, 404.08
77.655, 358.63
77.689, 395.48
78.397, 345.78
78.498, 389.61
79.208, 350.42
79.302, 380.68
80.218, 363.89
80.959, 357.63
81.765, 353.12
82.572, 347.17
83.378, 343.74
84.184, 336.40
84.991, 329.73
85.797, 325.07
86.603, 317.55
87.410, 311.44
88.216, 306.76
89.022, 302.89
89.829, 296.69
90.635, 292.32
91.441, 288.64
92.247, 286.31
93.053, 281.66
93.859, 281.10
94.665, 278.40
95.471, 274.22
96.277, 274.35
97.083, 274.48
97.888, 274.60
98.694, 274.73
99.500, 274.86
100.31, 274.99
101.11, 275.12
101.92, 275.25
102.72, 275.38
103.53, 282.47
104.28, 263.27
104.36, 312.00
104.77, 267.47
104.86, 303.59
