Temperature,Resistance
26.545, 73175
27.030, 79771
27.365, 68517
27.838, 74574
28.173, 65132
28.910, 65674
28.914, 58624
29.655, 62031
30.336, 56439
31.072, 56119
31.279, 49702
31.961, 52303
32.273, 47448
32.943, 48667
32.935, 44040
33.793, 42231
34.568, 40423
35.317, 39403
35.947, 36562
36.697, 35384
37.439, 34117
38.010, 32032
38.719, 31121
39.446, 29452
40.221, 27959
41.028, 26892
41.834, 26404
42.642, 25153
43.499, 24408
44.250, 27163
44.257, 22633
45.058, 25703
44.882, 21283
45.810, 23677
46.541, 21216
47.260, 22923
47.130, 19412
48.068, 21141
49.056, 19517
49.627, 18652
50.223, 17051
51.175, 15863
51.060, 17748
51.835, 14533
52.625, 13850
52.630, 12127
53.405, 12230
53.544, 10768
54.288, 10252
55.044, 9557.2
55.343, 8340.2
55.869, 7723.9
56.547, 7223.7
57.211, 6483.4
57.638, 5805.1
58.256, 6517.1
58.951, 5661.4
59.377, 4983.8
60.049, 4481.5
60.653, 3752.2
61.007, 3919.7
61.249, 3210.9
61.797, 3268.0
61.959, 2811.9
62.843, 2642.0
62.568, 3098.0
63.354, 2554.5
63.638, 2203.3
64.464, 2028.1
64.766, 2237.6
65.150, 1878.4
65.515, 1988.8
66.024, 1705.5
66.715, 1691.8
66.967, 1517.6
67.658, 1548.5
68.007, 1412.8
68.621, 1406.2
69.077, 1286.2
69.849, 1388.5
69.976, 1224.2
70.590, 1253.2
71.023, 1156.8
71.691, 1180.3
72.124, 1079.7
72.799, 1082.2
73.148, 979.81
73.822, 977.72
74.328, 913.15
75.008, 905.05
75.638, 845.15
76.341, 825.55
76.974, 800.13
77.781, 785.45
78.588, 761.19
79.395, 732.29
79.534, 604.33
80.202, 703.61
80.936, 678.29
82.140, 503.59
82.925, 496.71
83.731, 484.77
84.539, 462.33
85.345, 450.53
86.152, 438.22
86.958, 430.18
87.765, 422.55
88.571, 414.80
89.377, 408.94
90.184, 403.41
90.990, 400.16
91.796, 394.26
92.602, 391.32
93.455, 374.50
94.214, 382.44
95.089, 370.47
95.826, 372.63
96.632, 371.89
97.438, 369.79
98.241, 355.33
99.050, 363.18
99.856, 362.24
100.66, 360.19
101.47, 353.80
102.27, 352.02
103.08, 350.90
103.89, 349.35
104.75, 357.50
105.50, 359.88
106.19, 360.03
