Temperature,Resistance
27.045, 22428
27.852, 21590
28.594, 20941
29.179, 19711
29.843, 19209
30.395, 17865
31.118, 16933
31.950, 17051
32.076, 15339
32.781, 15966
33.352, 13838
33.679, 15317
34.160, 13433
34.899, 14195
34.905, 12106
35.708, 13072
35.713, 11428
36.454, 11889
36.803, 10724
37.503, 10354
38.174, 9341.9
38.935, 8731.4
39.381, 9844.8
39.682, 7821.7
40.527, 7371.2
41.360, 6984.8
42.124, 6734.9
42.867, 6396.5
43.789, 6076.4
44.480, 5944.9
45.330, 5461.2
46.092, 5186.2
46.951, 4875.2
47.823, 4591.4
48.519, 4428.6
49.437, 4238.9
49.072, 5221.3
50.180, 4060.5
50.993, 4021.4
51.726, 3695.1
52.686, 3418.2
53.348, 3268.9
54.109, 3083.7
55.337, 3486.5
55.579, 2920.1
55.944, 3415.7
56.348, 2705.0
57.075, 3094.4
57.152, 2823.0
57.883, 2953.9
59.572, 2590.0
60.380, 2462.8
60.964, 2536.8
61.532, 2137.7
61.910, 2366.1
62.583, 2100.9
63.534, 2141.9
64.344, 1927.6
65.192, 1843.1
65.961, 1660.0
66.713, 1545.9
67.446, 1477.7
68.075, 1389.2
68.727, 1353.0
69.225, 1230.5
69.880, 1344.8
70.123, 1193.1
70.742, 1199.2
71.314, 1111.3
72.009, 1102.0
72.689, 1043.9
73.393, 1020.0
74.022, 950.68
74.725, 933.72
75.406, 883.52
76.119, 868.36
76.799, 830.76
77.494, 831.22
78.065, 780.11
78.807, 760.59
79.614, 737.33
80.388, 715.27
81.227, 709.22
82.034, 681.46
82.841, 660.01
83.273, 540.85
83.648, 636.50
83.948, 532.39
84.455, 621.01
85.261, 600.36
86.068, 581.82
86.875, 562.81
87.572, 445.40
87.739, 548.95
88.423, 432.66
88.195, 540.94
89.230, 422.39
90.036, 416.17
90.842, 409.29
91.648, 404.50
92.454, 399.27
93.261, 394.60
94.067, 388.55
94.873, 386.36
95.679, 383.24
96.485, 380.38
97.291, 375.69
98.097, 375.41
98.903, 371.70
99.709, 367.12
100.51, 361.71
101.32, 358.57
102.13, 356.33
102.93, 351.30
103.74, 349.75
104.61, 355.69
105.17, 359.81
