Temperature,Resistance
26.955, 1.2483e+5
27.716, 1.2028e+5
28.504, 1.1520e+5
29.131, 1.0692e+5
29.804, 1.0096e+5
30.247, 96455
30.881, 98246
31.457, 90839
32.143, 90710
32.475, 83315
33.149, 83952
33.910, 80786
34.590, 76065
35.325, 73026
36.158, 70395
36.966, 66816
37.774, 63535
38.581, 60712
39.388, 58156
40.196, 55267
41.003, 52973
41.009, 44998
41.811, 49911
41.817, 42358
42.619, 47113
42.625, 40106
43.426, 44499
43.432, 37858
44.234, 42004
44.240, 35561
45.042, 39480
45.048, 33608
45.850, 37221
45.856, 31376
46.658, 34770
46.665, 29400
47.467, 32314
47.473, 27364
48.018, 30479
48.135, 25404
49.012, 26408
49.306, 22913
49.824, 22672
50.120, 20601
51.127, 22164
51.272, 19101
52.025, 20575
52.031, 17207
52.897, 18697
52.619, 16177
53.391, 17476
53.736, 16231
54.604, 15443
55.275, 14391
55.538, 14726
55.982, 12531
56.322, 10843
56.690, 12136
56.842, 9911.6
57.314, 9510.9
57.690, 10187
58.063, 8657.7
58.348, 7345.1
58.863, 6378.8
58.956, 7760.9
59.394, 5446.0
59.494, 6481.3
60.080, 4783.4
60.018, 5865.5
60.709, 4017.9
60.721, 4762.2
61.354, 3510.5
61.239, 4182.1
61.848, 2931.6
62.223, 3388.4
62.509, 2735.7
62.790, 2942.5
63.213, 2506.4
63.754, 2155.3
63.465, 1925.8
64.581, 1631.5
64.344, 1933.7
65.232, 1489.8
65.640, 1291.6
65.779, 1579.1
66.632, 1205.9
67.388, 1009.0
68.208, 911.24
68.896, 824.39
68.691, 963.88
69.650, 788.24
70.394, 782.54
70.743, 694.34
71.456, 689.63
71.595, 608.55
72.363, 587.52
73.175, 620.62
73.059, 532.01
73.935, 543.76
74.187, 488.79
74.910, 503.23
75.049, 449.59
75.766, 456.04
76.395, 426.34
77.101, 411.62
77.902, 398.99
78.538, 349.41
78.820, 384.18
79.345, 337.15
79.627, 370.80
80.152, 325.59
80.434, 357.89
80.959, 315.88
81.241, 347.76
81.760, 304.90
81.986, 341.23
82.560, 305.99
83.307, 325.62
83.312, 284.13
84.113, 320.11
84.118, 279.60
84.889, 295.10
85.626, 288.31
86.529, 286.72
87.271, 286.09
88.041, 289.13
88.877, 289.98
89.683, 287.64
90.490, 282.19
91.296, 280.08
92.102, 278.50
92.907, 276.76
93.714, 272.69
94.520, 269.99
95.326, 267.81
96.132, 265.48
96.938, 261.57
97.744, 260.74
98.550, 259.43
99.355, 258.44
100.16, 257.14
100.97, 256.00
101.77, 251.77
102.58, 251.42
103.45, 245.20
104.16, 244.96
104.74, 258.61
