Temperature,Resistance
24.986, 1010.5
24.991, 913.63
25.770, 983.33
25.775, 882.40
26.526, 939.24
26.583, 857.50
27.276, 850.67
28.176, 821.93
28.954, 783.39
28.929, 886.95
29.710, 766.16
29.477, 840.15
30.479, 756.22
31.281, 718.36
32.048, 701.59
32.780, 711.69
32.999, 667.08
33.755, 697.16
33.894, 640.55
34.611, 665.52
34.615, 620.41
35.397, 624.02
36.149, 607.53
36.879, 586.58
36.963, 619.84
37.652, 570.12
37.842, 599.80
38.459, 542.91
38.470, 582.78
39.208, 534.53
39.959, 527.24
39.963, 484.14
40.696, 489.09
40.940, 458.44
41.470, 458.55
41.920, 433.02
42.606, 432.74
43.098, 409.64
43.752, 411.51
44.091, 389.42
44.810, 408.05
44.815, 367.45
45.595, 390.45
45.600, 352.89
46.318, 361.74
46.873, 344.24
47.554, 338.88
47.966, 325.96
48.526, 322.12
49.018, 305.57
49.684, 306.37
49.929, 283.53
50.662, 286.47
50.600, 258.52
51.113, 243.08
51.414, 260.40
51.765, 223.54
51.772, 249.16
52.361, 203.17
52.365, 222.33
52.811, 183.43
52.957, 201.72
53.423, 169.64
53.460, 182.63
54.018, 153.78
54.082, 165.81
54.646, 139.54
54.536, 154.76
55.035, 126.82
55.243, 113.11
55.182, 138.58
55.801, 106.37
55.650, 125.11
56.071, 111.25
56.410, 96.772
56.738, 81.605
56.982, 92.430
57.267, 74.354
57.307, 84.690
57.846, 75.436
58.039, 69.246
58.670, 67.091
58.801, 59.293
59.224, 55.491
59.876, 55.748
60.085, 50.494
60.825, 51.377
60.960, 46.766
61.682, 49.342
61.740, 44.262
62.419, 43.825
63.043, 42.683
63.477, 44.132
63.917, 41.114
64.571, 40.257
65.437, 39.837
66.193, 38.882
66.970, 38.609
67.717, 37.635
68.452, 36.611
69.126, 35.286
70.336, 34.556
71.181, 34.940
71.901, 35.123
72.680, 36.992
72.507, 33.697
73.463, 36.656
74.247, 36.064
75.030, 35.602
75.813, 34.895
76.658, 33.955
77.349, 33.311
78.164, 32.734
78.944, 32.240
79.706, 31.862
80.484, 31.777
81.297, 31.077
81.443, 29.085
82.152, 30.564
82.157, 27.708
82.935, 30.025
82.940, 27.199
83.720, 28.866
83.724, 26.458
84.451, 26.481
85.291, 25.504
86.074, 25.206
86.858, 24.865
87.641, 24.639
88.471, 24.413
89.151, 24.393
89.705, 23.978
