Temperature,Resistance
29.291, 1926.3
30.074, 1903.8
30.791, 1696.6
30.857, 1873.7
31.640, 1716.3
31.539, 1849.3
32.423, 1690.9
32.322, 1822.6
33.195, 1610.4
33.207, 1788.4
33.925, 1572.0
33.991, 1757.5
34.709, 1549.9
34.774, 1726.9
35.557, 1570.9
35.456, 1702.6
36.275, 1508.1
36.341, 1670.6
37.070, 1502.8
37.023, 1636.4
37.908, 1591.0
38.515, 1377.4
38.595, 1541.5
39.256, 1368.4
40.086, 1292.6
40.775, 1296.2
41.114, 1202.5
41.870, 1143.2
42.592, 1120.3
42.726, 1052.6
43.429, 1076.3
43.673, 1010.8
44.339, 1018.6
44.760, 953.81
45.461, 927.05
46.208, 886.30
46.912, 874.93
47.467, 825.92
48.158, 817.79
48.292, 755.02
48.996, 757.55
49.240, 708.49
49.907, 709.05
50.399, 671.24
51.065, 668.99
51.310, 619.70
51.926, 603.81
52.203, 564.46
52.720, 608.48
52.880, 533.07
53.284, 502.37
53.935, 461.58
53.831, 519.31
54.526, 413.68
54.627, 469.69
55.270, 384.08
55.192, 433.73
55.801, 347.23
55.767, 392.36
56.190, 320.47
56.342, 353.04
56.760, 301.85
56.821, 321.62
57.027, 265.46
57.640, 299.81
57.817, 267.89
58.011, 240.41
58.068, 330.20
58.334, 216.20
58.201, 291.29
58.694, 195.89
58.596, 239.89
59.118, 178.81
58.999, 220.45
59.424, 195.64
59.555, 162.54
59.622, 141.50
59.858, 126.78
60.198, 117.26
59.912, 173.73
60.266, 103.17
60.121, 152.40
60.653, 93.415
60.412, 133.41
60.835, 81.819
60.668, 117.80
60.886, 106.96
61.143, 74.186
61.170, 93.687
61.326, 84.419
61.421, 65.602
61.629, 77.402
61.900, 63.171
62.161, 54.935
62.046, 71.703
62.625, 50.435
62.523, 60.176
63.418, 43.166
63.176, 50.737
63.447, 46.991
64.018, 41.060
64.194, 36.263
64.835, 33.289
64.712, 37.825
65.474, 30.112
65.322, 34.020
66.064, 27.842
65.861, 31.057
66.505, 24.315
66.754, 26.830
67.233, 22.523
67.187, 25.302
67.954, 21.198
68.294, 19.368
68.968, 17.238
68.764, 20.260
68.981, 18.916
69.592, 15.776
70.251, 14.119
70.251, 15.830
71.089, 13.227
70.950, 14.812
71.841, 12.700
72.535, 12.521
72.873, 11.795
73.539, 11.815
74.161, 11.258
74.397, 12.001
74.941, 10.878
75.191, 11.661
75.730, 10.599
76.005, 11.109
76.502, 10.342
77.163, 10.326
77.655, 9.8015
78.342, 9.5676
79.156, 9.3235
79.970, 9.2999
80.721, 9.2873
81.504, 9.1620
82.285, 9.4861
82.289, 8.7685
83.014, 9.1996
83.636, 8.7662
83.911, 9.1455
84.352, 8.7165
85.155, 8.6743
85.917, 8.8252
86.696, 9.2783
86.702, 8.3859
87.479, 9.2080
87.485, 8.3161
88.262, 9.1176
88.268, 8.2655
89.046, 8.9379
89.051, 8.1751
89.727, 8.8512
89.732, 8.0796
90.615, 8.3550
91.338, 8.6586
91.162, 8.0413
