Temperature,Resistance
33.242, 1.2262e+6
34.213, 1.3271e+6
34.217, 1.1024e+6
35.161, 1.2564e+6
35.438, 1.0586e+6
36.216, 1.2680e+6
36.471, 1.0309e+6
37.442, 1.0599e+6
38.601, 9.9823e+5
38.658, 1.1712e+6
39.570, 9.4937e+5
40.207, 1.1314e+6
40.690, 9.4976e+5
41.257, 1.0721e+6
42.041, 9.5851e+5
43.184, 9.3939e+5
44.261, 1.0221e+6
45.310, 9.5908e+5
46.391, 8.9225e+5
47.363, 8.0712e+5
47.735, 9.6695e+5
48.397, 7.6933e+5
49.349, 7.7264e+5
50.362, 7.2890e+5
51.269, 7.0082e+5
52.341, 6.9377e+5
53.311, 6.8082e+5
54.117, 6.5450e+5
54.733, 7.4344e+5
55.104, 6.3856e+5
56.112, 6.3225e+5
57.130, 6.1932e+5
58.163, 6.0932e+5
59.159, 6.2186e+5
60.227, 6.2013e+5
61.284, 5.9936e+5
62.293, 5.8836e+5
63.326, 5.7037e+5
64.359, 5.5707e+5
65.392, 5.4143e+5
66.403, 5.2362e+5
67.387, 5.0511e+5
68.398, 4.8708e+5
69.431, 4.6864e+5
70.464, 4.5371e+5
71.497, 4.4066e+5
72.530, 4.2433e+5
73.596, 4.0950e+5
74.596, 3.9787e+5
75.630, 3.8474e+5
76.662, 3.8035e+5
77.695, 3.6805e+5
78.728, 3.5706e+5
79.761, 3.4606e+5
80.794, 3.3994e+5
81.787, 3.5136e+5
81.961, 3.1110e+5
82.932, 3.2430e+5
83.923, 3.0923e+5
84.345, 3.3886e+5
85.000, 3.0011e+5
85.538, 2.7829e+5
85.944, 3.1374e+5
86.990, 3.1237e+5
88.024, 3.0228e+5
89.057, 2.9149e+5
90.090, 2.8366e+5
91.123, 2.7682e+5
92.156, 2.6882e+5
93.189, 2.6197e+5
94.222, 2.5440e+5
95.255, 2.4809e+5
96.287, 2.4484e+5
97.320, 2.3877e+5
97.324, 1.9848e+5
98.353, 2.3220e+5
99.386, 2.2533e+5
100.12, 1.9892e+5
101.08, 2.1654e+5
101.08, 1.8114e+5
102.11, 2.1103e+5
102.11, 1.7616e+5
103.14, 2.0550e+5
103.15, 1.7215e+5
104.18, 2.0196e+5
104.18, 1.6895e+5
105.21, 1.9798e+5
105.21, 1.6615e+5
106.24, 1.9438e+5
106.24, 1.6249e+5
107.27, 1.9143e+5
107.28, 1.6059e+5
108.31, 1.8800e+5
108.31, 1.5760e+5
109.34, 1.8450e+5
109.34, 1.5499e+5
110.37, 1.8170e+5
110.38, 1.5243e+5
111.40, 1.7820e+5
111.41, 1.4886e+5
112.44, 1.7488e+5
112.44, 1.4681e+5
113.47, 1.7223e+5
113.47, 1.4438e+5
114.50, 1.4147e+5
114.50, 1.6962e+5
115.54, 1.6518e+5
115.54, 1.3876e+5
116.17, 1.5702e+5
116.24, 1.3742e+5
