Temperature,Resistance
32.555, 8.6056e+5
33.566, 8.4570e+5
34.556, 8.2870e+5
35.486, 7.9189e+5
36.477, 7.7635e+5
37.451, 7.5640e+5
38.321, 7.1901e+5
39.295, 7.0893e+5
40.328, 6.8941e+5
41.361, 6.6972e+5
42.394, 6.5036e+5
43.404, 6.2901e+5
44.389, 6.0371e+5
45.377, 5.9063e+5
46.361, 5.6666e+5
47.329, 5.5418e+5
48.259, 5.3141e+5
49.167, 5.2588e+5
49.897, 4.9060e+5
50.788, 4.8743e+5
51.658, 4.6032e+5
52.632, 4.4848e+5
53.582, 4.3897e+5
54.312, 4.0637e+5
55.174, 4.0638e+5
55.821, 3.7383e+5
56.678, 3.7677e+5
57.230, 3.4237e+5
58.116, 3.3554e+5
58.987, 3.1000e+5
59.888, 2.9544e+5
60.649, 2.7345e+5
61.632, 2.6297e+5
62.659, 2.4287e+5
63.651, 2.1629e+5
64.574, 2.0720e+5
65.127, 1.8559e+5
66.033, 1.8528e+5
66.208, 1.5946e+5
67.162, 1.6146e+5
67.337, 1.3896e+5
68.330, 1.4170e+5
68.334, 1.2089e+5
69.366, 1.2419e+5
69.369, 1.0551e+5
70.401, 1.0777e+5
70.404, 91817
71.436, 94055
71.440, 79793
72.456, 67693
72.472, 81509
73.128, 62942
73.589, 68157
74.158, 56368
75.043, 54460
75.364, 47192
76.292, 47956
76.467, 41836
77.380, 42703
77.824, 38199
78.696, 38501
79.141, 34384
80.004, 34551
80.652, 31433
81.516, 31386
81.961, 28075
82.825, 28097
83.472, 25648
84.329, 25740
84.881, 23353
85.743, 23368
86.473, 21791
87.381, 21490
88.311, 20551
89.279, 20159
90.264, 19348
91.274, 18848
92.307, 18394
93.340, 17918
94.373, 17499
95.406, 17089
96.439, 16659
97.472, 16275
98.505, 15787
99.538, 15299
100.57, 14857
101.60, 14392
102.64, 13986
103.67, 13534
104.70, 13078
105.69, 12697
106.62, 12105
107.59, 11804
108.58, 11325
109.59, 10981
110.62, 10641
111.65, 10469
112.69, 10482
113.69, 10700
114.04, 9097.7
114.83, 11029
115.13, 9777.2
115.86, 10858
116.35, 10803
