Temperature,Resistance
28.368, 3.1769e+6
28.773, 3.2318e+6
29.706, 3.1587e+6
29.830, 3.2262e+6
30.675, 3.2192e+6
30.950, 3.1779e+6
32.062, 3.1416e+6
32.155, 3.2029e+6
33.423, 3.1146e+6
34.674, 3.0959e+6
36.192, 3.1338e+6
36.201, 3.0737e+6
37.254, 3.0418e+6
37.633, 3.1199e+6
38.126, 3.0237e+6
38.866, 3.1051e+6
39.870, 3.0287e+6
41.132, 2.9909e+6
42.097, 2.9842e+6
42.700, 2.9317e+6
43.440, 2.8685e+6
43.622, 2.9335e+6
43.880, 2.7394e+6
44.083, 2.5561e+6
44.085, 2.4895e+6
44.257, 2.8852e+6
44.274, 2.8141e+6
44.357, 2.3525e+6
44.577, 2.2759e+6
44.709, 2.7112e+6
44.762, 2.6358e+6
44.908, 2.5594e+6
45.102, 2.5067e+6
45.181, 2.2210e+6
45.331, 2.1075e+6
45.331, 2.3554e+6
45.593, 2.2699e+6
45.741, 2.0491e+6
45.933, 1.9766e+6
46.348, 1.9161e+6
46.370, 2.1007e+6
46.740, 2.0210e+6
46.996, 1.7882e+6
47.010, 1.9504e+6
47.578, 1.7312e+6
47.586, 1.8699e+6
47.676, 1.6529e+6
47.691, 1.8137e+6
48.273, 1.7325e+6
48.304, 1.6106e+6
48.537, 1.6789e+6
48.585, 1.4639e+6
49.013, 1.5559e+6
49.109, 1.3772e+6
49.488, 1.4610e+6
49.500, 1.2819e+6
49.858, 1.1532e+6
50.054, 1.0839e+6
50.101, 1.3663e+6
50.228, 1.2980e+6
50.315, 1.2312e+6
50.345, 9.9733e+5
50.757, 1.1975e+6
50.862, 1.1170e+6
50.885, 9.3481e+5
51.011, 8.3938e+5
51.298, 1.0112e+6
51.489, 7.8065e+5
51.708, 9.0755e+5
51.774, 6.9288e+5
52.130, 8.2830e+5
52.223, 6.1261e+5
52.300, 7.6837e+5
52.626, 5.4448e+5
52.677, 6.9395e+5
53.000, 4.7433e+5
53.145, 6.1297e+5
53.486, 4.1612e+5
53.568, 5.3875e+5
54.054, 4.5758e+5
54.197, 3.5417e+5
54.808, 2.8435e+5
54.984, 3.6108e+5
55.805, 2.5763e+5
56.654, 1.5559e+5
57.001, 2.1940e+5
57.838, 1.7922e+5
57.970, 1.3224e+5
59.254, 1.2455e+5
59.304, 52245
60.269, 29244
60.586, 1.0932e+5
61.431, 19088
62.083, 93531
62.594, 8669.0
63.545, 84992
63.757, 1414.4
64.708, 73517
64.919, -6895.1
66.082, -10721
67.202, 66253
67.244, -13756
68.407, -17055
68.486, 65961
69.570, -21672
69.913, 58143
70.732, -22861
71.451, 54543
71.958, -30689
72.994, 50074
73.057, -32887
74.167, 47739
74.220, -33285
75.383, -38693
75.826, 42847
76.545, -43047
77.250, 35270
77.708, -44763
78.870, -48326
79.372, 29463
80.033, -49515
80.614, 28877
81.196, -54132
82.358, -57167
83.521, -57828
84.683, -59017
85.529, 17821
85.846, -62843
87.199, -63800
88.171, -64694
89.334, -70102
90.496, -71555
91.659, -71425
92.822, -71295
93.984, -71166
95.147, -71036
96.309, -70906
97.472, -71040
98.635, -70647
99.797, -70781
100.75, -70825
