Temperature,Resistance
28.236, 3.2354e+6
28.413, 3.1735e+6
29.407, 3.2361e+6
29.706, 3.1611e+6
30.570, 3.2310e+6
30.807, 3.1527e+6
31.732, 3.2219e+6
32.472, 3.1355e+6
32.895, 3.2109e+6
33.529, 3.1233e+6
34.057, 3.2000e+6
35.220, 3.1922e+6
36.456, 3.1611e+6
37.560, 3.1527e+6
38.649, 3.1504e+6
40.103, 3.1104e+6
41.486, 3.1016e+6
42.724, 3.0916e+6
44.028, 3.0892e+6
45.410, 3.0960e+6
46.529, 3.0967e+6
47.691, 3.0962e+6
48.283, 3.0694e+6
49.383, 3.0647e+6
50.501, 3.0777e+6
51.367, 3.0317e+6
51.708, 3.0724e+6
52.596, 3.0097e+6
52.901, 3.0453e+6
53.830, 2.9605e+6
54.121, 2.9980e+6
54.646, 2.8341e+6
54.999, 2.9477e+6
55.259, 2.7328e+6
55.407, 2.8603e+6
55.565, 2.8951e+6
55.742, 2.6972e+6
55.830, 2.5848e+6
56.086, 2.5191e+6
56.147, 2.6921e+6
56.305, 2.7560e+6
56.335, 2.4579e+6
56.496, 2.3628e+6
56.811, 2.3016e+6
56.856, 2.2297e+6
56.922, 2.5040e+6
56.932, 2.5679e+6
57.003, 2.1754e+6
57.045, 2.4602e+6
57.274, 2.0920e+6
57.570, 2.0185e+6
57.600, 2.3424e+6
57.626, 2.2601e+6
57.635, 1.9463e+6
57.809, 1.8091e+6
57.868, 1.8778e+6
57.943, 2.1826e+6
58.225, 1.7268e+6
58.313, 2.0472e+6
58.472, 1.9724e+6
58.510, 1.6646e+6
58.666, 1.8903e+6
58.757, 1.5956e+6
58.833, 1.5260e+6
58.948, 1.8142e+6
59.074, 1.4692e+6
59.200, 1.3754e+6
59.317, 1.6777e+6
59.423, 1.5988e+6
59.485, 1.3020e+6
59.649, 1.2347e+6
59.687, 1.5438e+6
59.934, 1.4814e+6
60.018, 1.1404e+6
60.057, 1.4162e+6
60.171, 1.0600e+6
60.284, 9.9567e+5
60.480, 9.2488e+5
60.480, 1.3028e+6
60.602, 8.3754e+5
60.603, 1.2160e+6
60.885, 1.1257e+6
60.888, 7.5855e+5
61.009, 6.6385e+5
61.061, 1.0362e+6
61.185, 5.9772e+5
61.378, 9.1943e+5
61.484, 8.3708e+5
61.497, 5.2607e+5
61.643, 4.5938e+5
61.748, 7.5463e+5
61.854, 3.9336e+5
61.854, 7.2012e+5
62.118, 6.1184e+5
62.322, 5.3534e+5
62.421, 3.2619e+5
62.752, 4.8524e+5
63.040, 3.7149e+5
63.096, 2.4087e+5
63.496, 1.9321e+5
63.704, 3.2361e+5
64.583, 1.6291e+5
65.130, 2.1620e+5
66.333, 1.7197e+5
67.544, 1.4587e+5
68.865, 1.3007e+5
70.204, 1.4692e+5
71.366, 1.5487e+5
72.529, 1.4797e+5
73.691, 1.4414e+5
74.590, 57214
74.854, 1.3821e+5
76.017, 1.3254e+5
76.175, 55941
77.179, 1.2686e+5
78.342, 1.2251e+5
79.018, 42043
79.504, 1.1605e+5
80.191, 38983
80.667, 1.0615e+5
81.830, 96790
82.076, 42336
83.035, 88617
83.475, 41352
84.366, 79183
85.275, 76393
85.353, 33596
86.713, 29557
88.065, 26324
89.418, 23477
90.961, 20748
92.187, 20885
93.984, 19248
95.337, 19496
96.648, 19062
97.155, -62109
98.000, 17279
98.360, -61975
99.353, 16463
99.438, -61854
100.54, -61732
100.59, 16601
102.18, -32539
