Temperature,Resistance
27.696, 1.8882e+6
28.699, 1.8877e+6
29.433, 1.8527e+6
30.457, 1.8676e+6
30.657, 1.8097e+6
31.780, 1.8356e+6
31.785, 1.7681e+6
32.954, 1.7882e+6
32.959, 1.7178e+6
34.084, 1.7278e+6
34.257, 1.6512e+6
34.989, 1.5965e+6
35.303, 1.6567e+6
35.892, 1.5311e+6
36.180, 1.5893e+6
36.766, 1.4674e+6
37.444, 1.4783e+6
37.533, 1.3863e+6
38.247, 1.3973e+6
38.284, 1.3011e+6
38.998, 1.3192e+6
39.126, 1.2351e+6
39.694, 1.1707e+6
40.095, 1.0791e+6
40.391, 1.1815e+6
40.836, 9.7931e+5
41.036, 1.0908e+6
41.627, 9.1455e+5
41.680, 1.0064e+6
42.016, 8.4037e+5
42.421, 9.0971e+5
42.808, 8.5873e+5
42.852, 7.7685e+5
43.452, 7.8224e+5
43.703, 6.9765e+5
44.694, 6.3468e+5
45.401, 5.7635e+5
46.339, 5.8237e+5
46.344, 5.1554e+5
47.512, 5.2913e+5
47.517, 4.7255e+5
48.596, 4.5690e+5
49.010, 4.1752e+5
50.181, 3.9374e+5
51.354, 3.5269e+5
52.527, 3.1019e+5
53.700, 2.7231e+5
54.872, 2.4196e+5
56.043, 2.1883e+5
57.215, 1.9888e+5
58.385, 1.8472e+5
59.556, 1.6737e+5
60.728, 1.4829e+5
61.943, 1.2891e+5
63.170, 1.0396e+5
64.241, 87582
65.387, 74304
66.502, 54040
67.648, 43234
68.818, 34997
69.988, 28494
71.159, 17221
72.329, 7393.3
73.500, -1133.2
74.670, -1419.4
75.839, -1705.6
77.009, -3437.4
78.180, -13554
79.350, -15286
80.519, -15572
81.689, -18894
82.859, -21927
84.029, -22792
85.199, -23078
86.369, -23364
87.538, -23650
88.708, -23936
89.878, -24223
91.048, -24509
92.217, -24361
93.387, -18720
94.556, -19006
95.726, -19293
96.896, -19579
98.066, -19865
99.235, -20151
100.41, -20437
101.26, -20645
